PersonID,NetWorth
1,350000.00
2,143800.00
3,113900.00
4,84800.00
5,81100.00
6,80100.00
7,77500.00
8,65000.00
9,64100.00
10,51900.00
11,49000.00
12,42700.00
13,41000.00
14,39100.00
15,38000.00
16,37900.00
17,35000.00
18,34500.00
19,34000.00
20,30900.00
21,27000.00
22,24700.00
23,24700.00
24,24500.00
25,23600.00
26,23500.00
27,21800.00
28,20500.00
29,20000.00
30,19500.00
31,19400.00
32,18500.00
33,18300.00
34,17000.00
35,16800.00
36,16500.00
37,15100.00
38,15000.00
39,13700.00
40,13600.00
41,13000.00
42,12000.00
43,11000.00
44,11000.00
45,10500.00
46,10000.00
47,10000.00
48,9700.00
49,9500.00
50,9400.00
51,9200.00
52,9000.00
53,8400.00
54,8400.00
55,8300.00
56,8200.00
57,8100.00
58,8000.00
59,7400.00
60,7000.00
61,6900.00
62,6700.00
63,6300.00
64,6200.00
65,5600.00
66,5400.00
67,5200.00
68,5100.00
69,5000.00
70,5000.00
71,5000.00
72,4500.00
73,4500.00
74,4200.00
75,4000.00
76,3900.00
77,3900.00
78,3800.00
79,3700.00
80,3600.00
81,3500.00
82,3400.00
83,3000.00
84,3000.00
85,3000.00
86,3000.00
87,3000.00
88,3000.00
89,2900.00
90,2800.00
91,2800.00
92,2750.00
93,2700.00
94,2700.00
95,2600.00
96,2400.00
97,2200.00
98,2200.00
99,2000.00
100,2000.00
101,1900.00
102,1800.00
103,1800.00
104,1700.00
105,1400.00
106,1400.00
107,1300.00
108,1300.00
109,1300.00
110,1200.00
111,1000.00
112,1000.00
113,1000.00
114,1000.00
115,900.00
116,800.00
117,800.00
118,700.00
119,700.00
120,700.00
121,700.00
122,600.00
123,600.00
124,600.00
125,600.00
126,600.00
127,500.00
128,500.00
129,500.00
130,400.00
131,400.00
132,400.00
133,400.00
134,400.00
135,400.00
136,400.00
137,400.00
138,400.00
139,400.00
140,300.00
141,300.00
142,300.00
143,200.00
144,200.00
145,200.00
146,200.00
147,200.00
148,200.00
149,200.00
150,100.00
151,100.00
152,100.00
153,100.00
154,100.00
155,100.00
156,100.00
157,100.00
158,100.00
159,100.00
160,100.00
161,100.00
162,100.00
163,100.00
164,100.00
165,100.00
166,100.00
167,100.00
168,100.00
169,100.00
170,100.00
171,100.00
172,100.00
173,100.00
174,.00
175,.00
176,.00
177,.00
178,.00
179,.00
180,.00
181,.00
182,.00
183,.00
184,.00
185,.00
186,.00
187,.00
188,.00
189,.00
190,.00
191,.00
192,.00
193,.00
194,.00
195,.00
196,.00
197,.00
198,.00
199,.00
200,.00
201,.00
202,.00
203,.00
204,.00
205,.00
206,.00
207,.00
208,.00
209,.00
210,.00
211,.00
212,.00
213,.00
214,.00
215,.00
216,.00
217,.00
218,.00
219,.00
220,.00
221,.00
222,.00
223,.00
224,.00
225,.00
226,.00
227,.00
228,.00
229,.00
230,.00
231,.00
232,.00
233,.00
234,.00
235,.00
236,.00
237,.00
238,.00
239,.00
240,.00
241,.00
242,.00
243,.00
244,.00
245,.00
246,.00
247,.00
248,.00
249,.00
250,.00
251,.00
252,.00
253,.00
254,.00
255,.00
256,.00
257,.00
258,.00
259,.00
260,.00
261,.00
262,.00
263,.00
264,.00
265,.00
266,.00
267,.00
268,.00
269,.00
270,.00
271,.00
272,.00
273,.00
274,.00
275,.00
276,.00
277,.00
278,.00
279,.00
280,.00
281,.00
282,.00
283,.00
284,.00
285,.00
286,.00
287,.00
288,.00
289,.00
290,.00
291,.00
292,.00
293,.00
294,.00
295,.00
296,.00
297,.00
